"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2023,5,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25085,"5.9"
2023,5,10,"Sant Martí",65,"el Clot",17533,"5.9"
2023,5,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10655,"4.8"
2023,5,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6456,"5.1"
2023,5,10,"Sant Martí",68,"el Poblenou",23336,"4.9"
2023,5,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8896,"6.8"
2023,5,10,"Sant Martí",70,"el Besòs i el Maresme",18138,"7.7"
2023,5,10,"Sant Martí",71,"Provençals del Poblenou",14151,"6.0"
2023,5,10,"Sant Martí",72,"Sant Martí de Provençals",16204,"7.1"
2023,5,10,"Sant Martí",73,"la Verneda i la Pau",17733,"7.3"
2023,6,1,"Ciutat Vella",1,"el Raval",34952,"7.9"
2023,6,1,"Ciutat Vella",2,"el Barri Gòtic",18929,"4.4"
2023,6,1,"Ciutat Vella",3,"la Barceloneta",10821,"7.4"
2023,6,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17298,"6.4"
2023,6,2,"Eixample",5,"el Fort Pienc",22678,"4.7"
2023,6,2,"Eixample",6,"la Sagrada Família",34523,"4.8"
2023,6,2,"Eixample",7,"la Dreta de l'Eixample",29919,"3.9"
2023,6,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29194,"3.9"
2023,6,2,"Eixample",9,"la Nova Esquerra de l'Eixample",37620,"4.6"
2023,6,2,"Eixample",10,"Sant Antoni",25800,"4.9"
2023,6,3,"Sants-Montjuïc",11,"el Poble Sec",28205,"6.0"
2023,6,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1053,"8.2"
2023,6,3,"Sants-Montjuïc",13,"la Marina de Port",20122,"7.5"
2023,6,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6943,"6.2"
2023,6,3,"Sants-Montjuïc",15,"Hostafrancs",10975,"5.5"
2023,6,3,"Sants-Montjuïc",16,"la Bordeta",12443,"5.7"
2023,6,3,"Sants-Montjuïc",17,"Sants - Badal",15878,"4.6"
2023,6,3,"Sants-Montjuïc",18,"Sants",29150,"4.9"
2023,6,4,"Les Corts",19,"les Corts",27435,"5.2"
2023,6,4,"Les Corts",20,"la Maternitat i Sant Ramon",14216,"5.1"
2023,6,4,"Les Corts",21,"Pedralbes",6896,"2.6"
2023,6,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3150,"2.7"
2023,6,5,"Sarrià-Sant Gervasi",23,"Sarrià",14854,"2.8"
2023,6,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",9703,"3.4"
2023,6,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15725,"3.2"
2023,6,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29742,"3.2"
2023,6,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19118,"4.1"
2023,6,6,"Gràcia",28,"Vallcarca i els Penitents",10173,"4.9"
2023,6,6,"Gràcia",29,"el Coll",5050,"4.0"
2023,6,6,"Gràcia",30,"la Salut",8216,"5.3"
2023,6,6,"Gràcia",31,"la Vila de Gràcia",34715,"4.6"
2023,6,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22585,"4.7"
2023,6,7,"Horta-Guinardó",33,"el Baix Guinardó",16344,"5.0"
2023,6,7,"Horta-Guinardó",34,"Can Baró",6075,"5.2"
2023,6,7,"Horta-Guinardó",35,"el Guinardó",24193,"5.5"
2023,6,7,"Horta-Guinardó",36,"la Font d'en Fargues",5854,"6.8"
2023,6,7,"Horta-Guinardó",37,"el Carmel",20903,"6.5"
2023,6,7,"Horta-Guinardó",38,"la Teixonera",7910,"5.7"
2023,6,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4594,"6.0"
2023,6,7,"Horta-Guinardó",40,"Montbau",3192,"6.3"
2023,6,7,"Horta-Guinardó",41,"la Vall d'Hebron",3523,"6.1"
2023,6,7,"Horta-Guinardó",42,"la Clota",477,"3.1"
2023,6,7,"Horta-Guinardó",43,"Horta",17590,"6.6"
2023,6,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",16230,"6.7"
2023,6,8,"Nou Barris",45,"Porta",17904,"6.0"
2023,6,8,"Nou Barris",46,"el Turó de la Peira",10616,"6.4"
2023,6,8,"Nou Barris",47,"Can Peguera",1398,"6.7"
2023,6,8,"Nou Barris",48,"la Guineueta",8899,"8.5"
2023,6,8,"Nou Barris",49,"Canyelles",3956,"9.4"
2023,6,8,"Nou Barris",50,"les Roquetes",10737,"7.5"
2023,6,8,"Nou Barris",51,"Verdun",8239,"7.5"
2023,6,8,"Nou Barris",52,"la Prosperitat",16471,"7.4"
2023,6,8,"Nou Barris",53,"la Trinitat Nova",5046,"11.0"
2023,6,8,"Nou Barris",54,"Torre Baró",1998,"7.7"
2023,6,8,"Nou Barris",55,"Ciutat Meridiana",7021,"11.4"
2023,6,8,"Nou Barris",56,"Vallbona",903,"10.3"
2023,6,9,"Sant Andreu",57,"la Trinitat Vella",6992,"10.6"
2023,6,9,"Sant Andreu",58,"Baró de Viver",1748,"5.6"
2023,6,9,"Sant Andreu",59,"el Bon Pastor",9117,"6.1"
2023,6,9,"Sant Andreu",60,"Sant Andreu",36330,"6.2"
2023,6,9,"Sant Andreu",61,"la Sagrera",18399,"5.5"
2023,6,9,"Sant Andreu",62,"el Congrés i els Indians",9372,"5.3"
2023,6,9,"Sant Andreu",63,"Navas",14023,"5.4"
2023,6,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25085,"5.8"
2023,6,10,"Sant Martí",65,"el Clot",17533,"5.8"
2023,6,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10655,"4.8"
2023,6,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6456,"5.1"
2023,6,10,"Sant Martí",68,"el Poblenou",23336,"4.8"
2023,6,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8896,"6.6"
2023,6,10,"Sant Martí",70,"el Besòs i el Maresme",18138,"7.5"
2023,6,10,"Sant Martí",71,"Provençals del Poblenou",14151,"5.9"
2023,6,10,"Sant Martí",72,"Sant Martí de Provençals",16204,"6.9"
2023,6,10,"Sant Martí",73,"la Verneda i la Pau",17733,"7.1"
2023,7,1,"Ciutat Vella",1,"el Raval",34952,"7.8"
2023,7,1,"Ciutat Vella",2,"el Barri Gòtic",18929,"4.4"
2023,7,1,"Ciutat Vella",3,"la Barceloneta",10821,"7.5"
2023,7,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17298,"6.4"
2023,7,2,"Eixample",5,"el Fort Pienc",22678,"4.8"
2023,7,2,"Eixample",6,"la Sagrada Família",34523,"4.9"
2023,7,2,"Eixample",7,"la Dreta de l'Eixample",29919,"3.9"
2023,7,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29194,"4.0"
2023,7,2,"Eixample",9,"la Nova Esquerra de l'Eixample",37620,"4.8"
2023,7,2,"Eixample",10,"Sant Antoni",25800,"5.0"
2023,7,3,"Sants-Montjuïc",11,"el Poble Sec",28205,"6.0"
2023,7,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1053,"8.4"
2023,7,3,"Sants-Montjuïc",13,"la Marina de Port",20122,"7.5"
2023,7,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6943,"6.2"
2023,7,3,"Sants-Montjuïc",15,"Hostafrancs",10975,"5.5"
2023,7,3,"Sants-Montjuïc",16,"la Bordeta",12443,"5.7"
2023,7,3,"Sants-Montjuïc",17,"Sants - Badal",15878,"4.6"
2023,7,3,"Sants-Montjuïc",18,"Sants",29150,"4.9"
2023,7,4,"Les Corts",19,"les Corts",27435,"5.3"
2023,7,4,"Les Corts",20,"la Maternitat i Sant Ramon",14216,"5.1"
2023,7,4,"Les Corts",21,"Pedralbes",6896,"2.7"
2023,7,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3150,"2.8"
2023,7,5,"Sarrià-Sant Gervasi",23,"Sarrià",14854,"2.9"
2023,7,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",9703,"3.5"
2023,7,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15725,"3.2"
2023,7,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29742,"3.3"
2023,7,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19118,"4.2"
2023,7,6,"Gràcia",28,"Vallcarca i els Penitents",10173,"5.0"
2023,7,6,"Gràcia",29,"el Coll",5050,"4.1"
2023,7,6,"Gràcia",30,"la Salut",8216,"5.5"
2023,7,6,"Gràcia",31,"la Vila de Gràcia",34715,"4.9"
2023,7,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22585,"4.8"
2023,7,7,"Horta-Guinardó",33,"el Baix Guinardó",16344,"5.1"
2023,7,7,"Horta-Guinardó",34,"Can Baró",6075,"5.4"
2023,7,7,"Horta-Guinardó",35,"el Guinardó",24193,"5.5"
2023,7,7,"Horta-Guinardó",36,"la Font d'en Fargues",5854,"6.8"
2023,7,7,"Horta-Guinardó",37,"el Carmel",20903,"6.5"
2023,7,7,"Horta-Guinardó",38,"la Teixonera",7910,"5.7"
2023,7,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4594,"6.1"
2023,7,7,"Horta-Guinardó",40,"Montbau",3192,"6.4"
2023,7,7,"Horta-Guinardó",41,"la Vall d'Hebron",3523,"6.2"
2023,7,7,"Horta-Guinardó",42,"la Clota",477,"3.2"
2023,7,7,"Horta-Guinardó",43,"Horta",17590,"6.7"
2023,7,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",16230,"6.9"
2023,7,8,"Nou Barris",45,"Porta",17904,"6.1"
2023,7,8,"Nou Barris",46,"el Turó de la Peira",10616,"6.6"
2023,7,8,"Nou Barris",47,"Can Peguera",1398,"6.9"
2023,7,8,"Nou Barris",48,"la Guineueta",8899,"8.6"
2023,7,8,"Nou Barris",49,"Canyelles",3956,"9.4"
2023,7,8,"Nou Barris",50,"les Roquetes",10737,"7.5"
2023,7,8,"Nou Barris",51,"Verdun",8239,"7.5"
2023,7,8,"Nou Barris",52,"la Prosperitat",16471,"7.4"
2023,7,8,"Nou Barris",53,"la Trinitat Nova",5046,"11.0"
2023,7,8,"Nou Barris",54,"Torre Baró",1998,"7.7"
2023,7,8,"Nou Barris",55,"Ciutat Meridiana",7021,"11.4"
2023,7,8,"Nou Barris",56,"Vallbona",903,"10.3"
2023,7,9,"Sant Andreu",57,"la Trinitat Vella",6992,"10.6"
2023,7,9,"Sant Andreu",58,"Baró de Viver",1748,"5.7"
2023,7,9,"Sant Andreu",59,"el Bon Pastor",9117,"6.2"
2023,7,9,"Sant Andreu",60,"Sant Andreu",36330,"6.3"
2023,7,9,"Sant Andreu",61,"la Sagrera",18399,"5.6"
2023,7,9,"Sant Andreu",62,"el Congrés i els Indians",9372,"5.4"
2023,7,9,"Sant Andreu",63,"Navas",14023,"5.5"
2023,7,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25085,"5.8"
2023,7,10,"Sant Martí",65,"el Clot",17533,"5.9"
2023,7,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10655,"4.8"
2023,7,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6456,"5.1"
2023,7,10,"Sant Martí",68,"el Poblenou",23336,"4.9"
2023,7,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8896,"6.5"
2023,7,10,"Sant Martí",70,"el Besòs i el Maresme",18138,"7.3"
2023,7,10,"Sant Martí",71,"Provençals del Poblenou",14151,"5.9"
2023,7,10,"Sant Martí",72,"Sant Martí de Provençals",16204,"6.9"
2023,7,10,"Sant Martí",73,"la Verneda i la Pau",17733,"7.1"
2023,8,1,"Ciutat Vella",1,"el Raval",34952,"7.9"
2023,8,1,"Ciutat Vella",2,"el Barri Gòtic",18929,"4.5"
2023,8,1,"Ciutat Vella",3,"la Barceloneta",10821,"7.7"
2023,8,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17298,"6.6"
2023,8,2,"Eixample",5,"el Fort Pienc",22678,"4.9"
2023,8,2,"Eixample",6,"la Sagrada Família",34523,"5.1"
2023,8,2,"Eixample",7,"la Dreta de l'Eixample",29919,"4.0"
2023,8,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29194,"4.3"
2023,8,2,"Eixample",9,"la Nova Esquerra de l'Eixample",37620,"4.9"
2023,8,2,"Eixample",10,"Sant Antoni",25800,"5.1"
2023,8,3,"Sants-Montjuïc",11,"el Poble Sec",28205,"6.2"
2023,8,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1053,"8.7"
2023,8,3,"Sants-Montjuïc",13,"la Marina de Port",20122,"7.6"
2023,8,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6943,"6.4"
2023,8,3,"Sants-Montjuïc",15,"Hostafrancs",10975,"5.8"
2023,8,3,"Sants-Montjuïc",16,"la Bordeta",12443,"6.0"
2023,8,3,"Sants-Montjuïc",17,"Sants - Badal",15878,"4.8"
2023,8,3,"Sants-Montjuïc",18,"Sants",29150,"5.1"
2023,8,4,"Les Corts",19,"les Corts",27435,"5.5"
2023,8,4,"Les Corts",20,"la Maternitat i Sant Ramon",14216,"5.3"
2023,8,4,"Les Corts",21,"Pedralbes",6896,"2.9"
2023,8,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3150,"2.9"
2023,8,5,"Sarrià-Sant Gervasi",23,"Sarrià",14854,"3.0"
2023,8,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",9703,"3.6"
2023,8,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15725,"3.3"
2023,8,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29742,"3.4"
2023,8,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19118,"4.3"
2023,8,6,"Gràcia",28,"Vallcarca i els Penitents",10173,"5.2"
2023,8,6,"Gràcia",29,"el Coll",5050,"4.3"
2023,8,6,"Gràcia",30,"la Salut",8216,"5.7"
2023,8,6,"Gràcia",31,"la Vila de Gràcia",34715,"5.2"
2023,8,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22585,"5.0"
2023,8,7,"Horta-Guinardó",33,"el Baix Guinardó",16344,"5.3"
2023,8,7,"Horta-Guinardó",34,"Can Baró",6075,"5.5"
2023,8,7,"Horta-Guinardó",35,"el Guinardó",24193,"5.7"
2023,8,7,"Horta-Guinardó",36,"la Font d'en Fargues",5854,"6.9"
2023,8,7,"Horta-Guinardó",37,"el Carmel",20903,"6.6"
2023,8,7,"Horta-Guinardó",38,"la Teixonera",7910,"5.9"
2023,8,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4594,"6.3"
2023,8,7,"Horta-Guinardó",40,"Montbau",3192,"6.6"
2023,8,7,"Horta-Guinardó",41,"la Vall d'Hebron",3523,"6.3"
2023,8,7,"Horta-Guinardó",42,"la Clota",477,"3.3"
2023,8,7,"Horta-Guinardó",43,"Horta",17590,"6.9"
2023,8,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",16230,"7.0"
2023,8,8,"Nou Barris",45,"Porta",17904,"6.1"
2023,8,8,"Nou Barris",46,"el Turó de la Peira",10616,"6.7"
2023,8,8,"Nou Barris",47,"Can Peguera",1398,"7.0"
2023,8,8,"Nou Barris",48,"la Guineueta",8899,"8.6"
2023,8,8,"Nou Barris",49,"Canyelles",3956,"9.5"
2023,8,8,"Nou Barris",50,"les Roquetes",10737,"7.6"
2023,8,8,"Nou Barris",51,"Verdun",8239,"7.6"
2023,8,8,"Nou Barris",52,"la Prosperitat",16471,"7.5"
2023,8,8,"Nou Barris",53,"la Trinitat Nova",5046,"10.8"
2023,8,8,"Nou Barris",54,"Torre Baró",1998,"7.5"
2023,8,8,"Nou Barris",55,"Ciutat Meridiana",7021,"11.2"
2023,8,8,"Nou Barris",56,"Vallbona",903,"10.1"
2023,8,9,"Sant Andreu",57,"la Trinitat Vella",6992,"10.4"
2023,8,9,"Sant Andreu",58,"Baró de Viver",1748,"5.8"
2023,8,9,"Sant Andreu",59,"el Bon Pastor",9117,"6.3"
2023,8,9,"Sant Andreu",60,"Sant Andreu",36330,"6.4"
2023,8,9,"Sant Andreu",61,"la Sagrera",18399,"5.7"
2023,8,9,"Sant Andreu",62,"el Congrés i els Indians",9372,"5.5"
2023,8,9,"Sant Andreu",63,"Navas",14023,"5.7"
2023,8,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25085,"6.1"
2023,8,10,"Sant Martí",65,"el Clot",17533,"6.1"
2023,8,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10655,"4.9"
2023,8,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6456,"5.3"
2023,8,10,"Sant Martí",68,"el Poblenou",23336,"5.0"
2023,8,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8896,"6.6"
2023,8,10,"Sant Martí",70,"el Besòs i el Maresme",18138,"7.4"
2023,8,10,"Sant Martí",71,"Provençals del Poblenou",14151,"6.0"
2023,8,10,"Sant Martí",72,"Sant Martí de Provençals",16204,"7.0"
2023,8,10,"Sant Martí",73,"la Verneda i la Pau",17733,"7.2"
2023,9,1,"Ciutat Vella",1,"el Raval",34952,"7.9"
2023,9,1,"Ciutat Vella",2,"el Barri Gòtic",18929,"4.5"
2023,9,1,"Ciutat Vella",3,"la Barceloneta",10821,"7.6"
2023,9,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17298,"6.5"
2023,9,2,"Eixample",5,"el Fort Pienc",22678,"4.8"
2023,9,2,"Eixample",6,"la Sagrada Família",34523,"5.0"
2023,9,2,"Eixample",7,"la Dreta de l'Eixample",29919,"4.0"
2023,9,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29194,"4.1"
2023,9,2,"Eixample",9,"la Nova Esquerra de l'Eixample",37620,"4.7"
2023,9,2,"Eixample",10,"Sant Antoni",25800,"4.9"
2023,9,3,"Sants-Montjuïc",11,"el Poble Sec",28205,"6.3"
2023,9,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1053,"8.9"
2023,9,3,"Sants-Montjuïc",13,"la Marina de Port",20122,"7.6"
2023,9,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6943,"6.5"
2023,9,3,"Sants-Montjuïc",15,"Hostafrancs",10975,"5.7"
2023,9,3,"Sants-Montjuïc",16,"la Bordeta",12443,"5.9"
2023,9,3,"Sants-Montjuïc",17,"Sants - Badal",15878,"4.7"
2023,9,3,"Sants-Montjuïc",18,"Sants",29150,"5.0"
2023,9,4,"Les Corts",19,"les Corts",27435,"5.4"
2023,9,4,"Les Corts",20,"la Maternitat i Sant Ramon",14216,"5.2"
2023,9,4,"Les Corts",21,"Pedralbes",6896,"2.7"
2023,9,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3150,"2.8"
2023,9,5,"Sarrià-Sant Gervasi",23,"Sarrià",14854,"2.8"
2023,9,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",9703,"3.5"
2023,9,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15725,"3.2"
2023,9,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29742,"3.2"
2023,9,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19118,"4.1"
2023,9,6,"Gràcia",28,"Vallcarca i els Penitents",10173,"5.0"
2023,9,6,"Gràcia",29,"el Coll",5050,"4.1"
2023,9,6,"Gràcia",30,"la Salut",8216,"5.6"
2023,9,6,"Gràcia",31,"la Vila de Gràcia",34715,"5.0"
2023,9,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22585,"4.9"
2023,9,7,"Horta-Guinardó",33,"el Baix Guinardó",16344,"5.2"
2023,9,7,"Horta-Guinardó",34,"Can Baró",6075,"5.4"
2023,9,7,"Horta-Guinardó",35,"el Guinardó",24193,"5.5"
2023,9,7,"Horta-Guinardó",36,"la Font d'en Fargues",5854,"7.0"
2023,9,7,"Horta-Guinardó",37,"el Carmel",20903,"6.7"
2023,9,7,"Horta-Guinardó",38,"la Teixonera",7910,"5.9"
2023,9,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4594,"6.3"
2023,9,7,"Horta-Guinardó",40,"Montbau",3192,"6.6"
2023,9,7,"Horta-Guinardó",41,"la Vall d'Hebron",3523,"6.3"
2023,9,7,"Horta-Guinardó",42,"la Clota",477,"3.3"
2023,9,7,"Horta-Guinardó",43,"Horta",17590,"6.9"
2023,9,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",16230,"7.1"
2023,9,8,"Nou Barris",45,"Porta",17904,"6.2"
2023,9,8,"Nou Barris",46,"el Turó de la Peira",10616,"6.8"
2023,9,8,"Nou Barris",47,"Can Peguera",1398,"7.0"
2023,9,8,"Nou Barris",48,"la Guineueta",8899,"8.7"
2023,9,8,"Nou Barris",49,"Canyelles",3956,"9.5"
2023,9,8,"Nou Barris",50,"les Roquetes",10737,"7.6"
2023,9,8,"Nou Barris",51,"Verdun",8239,"7.6"
2023,9,8,"Nou Barris",52,"la Prosperitat",16471,"7.6"
2023,9,8,"Nou Barris",53,"la Trinitat Nova",5046,"10.8"
2023,9,8,"Nou Barris",54,"Torre Baró",1998,"7.6"
2023,9,8,"Nou Barris",55,"Ciutat Meridiana",7021,"11.2"
2023,9,8,"Nou Barris",56,"Vallbona",903,"10.1"
2023,9,9,"Sant Andreu",57,"la Trinitat Vella",6992,"10.5"
2023,9,9,"Sant Andreu",58,"Baró de Viver",1748,"5.7"
2023,9,9,"Sant Andreu",59,"el Bon Pastor",9117,"6.2"
2023,9,9,"Sant Andreu",60,"Sant Andreu",36330,"6.3"
2023,9,9,"Sant Andreu",61,"la Sagrera",18399,"5.7"
2023,9,9,"Sant Andreu",62,"el Congrés i els Indians",9372,"5.5"
2023,9,9,"Sant Andreu",63,"Navas",14023,"5.6"
2023,9,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25085,"6.0"
2023,9,10,"Sant Martí",65,"el Clot",17533,"5.9"
2023,9,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10655,"4.8"
2023,9,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6456,"5.2"
2023,9,10,"Sant Martí",68,"el Poblenou",23336,"5.0"
2023,9,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8896,"6.6"
2023,9,10,"Sant Martí",70,"el Besòs i el Maresme",18138,"7.4"
2023,9,10,"Sant Martí",71,"Provençals del Poblenou",14151,"5.9"
2023,9,10,"Sant Martí",72,"Sant Martí de Provençals",16204,"6.9"
2023,9,10,"Sant Martí",73,"la Verneda i la Pau",17733,"7.1"
2023,10,1,"Ciutat Vella",1,"el Raval",34952,"8.0"
2023,10,1,"Ciutat Vella",2,"el Barri Gòtic",18929,"4.7"
2023,10,1,"Ciutat Vella",3,"la Barceloneta",10821,"7.7"
2023,10,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17298,"6.6"
2023,10,2,"Eixample",5,"el Fort Pienc",22678,"4.9"
2023,10,2,"Eixample",6,"la Sagrada Família",34523,"5.1"
2023,10,2,"Eixample",7,"la Dreta de l'Eixample",29919,"4.0"
2023,10,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29194,"4.1"
2023,10,2,"Eixample",9,"la Nova Esquerra de l'Eixample",37620,"4.8"
2023,10,2,"Eixample",10,"Sant Antoni",25800,"5.0"
2023,10,3,"Sants-Montjuïc",11,"el Poble Sec",28205,"6.4"
2023,10,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1053,"8.8"
2023,10,3,"Sants-Montjuïc",13,"la Marina de Port",20122,"7.7"
2023,10,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6943,"6.6"
2023,10,3,"Sants-Montjuïc",15,"Hostafrancs",10975,"5.7"
2023,10,3,"Sants-Montjuïc",16,"la Bordeta",12443,"5.9"
2023,10,3,"Sants-Montjuïc",17,"Sants - Badal",15878,"4.8"
2023,10,3,"Sants-Montjuïc",18,"Sants",29150,"5.1"
2023,10,4,"Les Corts",19,"les Corts",27435,"5.5"
2023,10,4,"Les Corts",20,"la Maternitat i Sant Ramon",14216,"5.3"
2023,10,4,"Les Corts",21,"Pedralbes",6896,"2.6"
2023,10,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3150,"2.9"
2023,10,5,"Sarrià-Sant Gervasi",23,"Sarrià",14854,"2.8"
2023,10,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",9703,"3.6"
2023,10,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15725,"3.3"
2023,10,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29742,"3.3"
2023,10,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19118,"4.2"
2023,10,6,"Gràcia",28,"Vallcarca i els Penitents",10173,"5.1"
2023,10,6,"Gràcia",29,"el Coll",5050,"4.2"
2023,10,6,"Gràcia",30,"la Salut",8216,"5.5"
2023,10,6,"Gràcia",31,"la Vila de Gràcia",34715,"5.0"
2023,10,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22585,"5.0"
2023,10,7,"Horta-Guinardó",33,"el Baix Guinardó",16344,"5.3"
2023,10,7,"Horta-Guinardó",34,"Can Baró",6075,"5.4"
2023,10,7,"Horta-Guinardó",35,"el Guinardó",24193,"5.6"
2023,10,7,"Horta-Guinardó",36,"la Font d'en Fargues",5854,"7.0"
2023,10,7,"Horta-Guinardó",37,"el Carmel",20903,"6.7"
2023,10,7,"Horta-Guinardó",38,"la Teixonera",7910,"5.9"
2023,10,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4594,"6.3"
2023,10,7,"Horta-Guinardó",40,"Montbau",3192,"6.6"
2023,10,7,"Horta-Guinardó",41,"la Vall d'Hebron",3523,"6.3"
2023,10,7,"Horta-Guinardó",42,"la Clota",477,"3.3"
2023,10,7,"Horta-Guinardó",43,"Horta",17590,"6.9"
2023,10,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",16230,"7.1"
2023,10,8,"Nou Barris",45,"Porta",17904,"6.3"
2023,10,8,"Nou Barris",46,"el Turó de la Peira",10616,"6.8"
2023,10,8,"Nou Barris",47,"Can Peguera",1398,"7.1"
2023,10,8,"Nou Barris",48,"la Guineueta",8899,"8.8"
2023,10,8,"Nou Barris",49,"Canyelles",3956,"9.6"
2023,10,8,"Nou Barris",50,"les Roquetes",10737,"7.7"
2023,10,8,"Nou Barris",51,"Verdun",8239,"7.7"
2023,10,8,"Nou Barris",52,"la Prosperitat",16471,"7.7"
2023,10,8,"Nou Barris",53,"la Trinitat Nova",5046,"11.1"
2023,10,8,"Nou Barris",54,"Torre Baró",1998,"7.8"
2023,10,8,"Nou Barris",55,"Ciutat Meridiana",7021,"11.5"
2023,10,8,"Nou Barris",56,"Vallbona",903,"10.4"
2023,10,9,"Sant Andreu",57,"la Trinitat Vella",6992,"10.7"
2023,10,9,"Sant Andreu",58,"Baró de Viver",1748,"5.6"
2023,10,9,"Sant Andreu",59,"el Bon Pastor",9117,"6.1"
2023,10,9,"Sant Andreu",60,"Sant Andreu",36330,"6.2"
2023,10,9,"Sant Andreu",61,"la Sagrera",18399,"5.8"
